id,user_prompt,better_prompt
1,Write a fable.,"Compose a modern fable that imparts a relevant contemporary moral. The fable must include: 1. Anthropomorphized Characters: The main characters should be animals or inanimate objects that exhibit human traits. 2. A Central Conflict: A clear problem or dilemma that the protagonist faces. 3. A Succinct Narrative: The story should be brief and focused, leading directly to its conclusion. 4. An Explicit Moral: The story must conclude with a clear, one-sentence moral that encapsulates its lesson. 5. A Timeless Quality: While modern, the theme and lesson should feel universal."
2,Explain a historical document.,"Illuminate the significance of a major historical document (e.g., the Magna Carta, the Declaration of Independence, the Universal Declaration of Human Rights). Your illumination must cover: 1. The Historical Context: Describe the specific circumstances and events that led to the document's creation. 2. The Core Principles: Summarize the 2-3 most important ideas or principles articulated in the document. 3. The Key Signatories: Identify the key individuals or groups involved in drafting and signing it. 4. The Immediate Impact: What were the immediate effects of the document on the society of its time? 5. The Enduring Legacy: How has the document influenced subsequent history, law, and political thought?"
3,Design a magical creature.,"Engineer the concept for a new magical creature. The design should be holistic, considering its biology and role in its world. 1. Physiology and Anatomy: Describe its physical form, what it eats, and any unique biological traits. 2. Magical Abilities: Detail its magical powers, including their source, limitations, and visual manifestation. 3. Behavioral Ecology: Explain its social structure, mating habits, and how it interacts with its environment and other species. 4. Relationship with Mortals: How is this creature perceived and interacted with by the people in its world? (e.g., as a pest, a companion, a source of magical ingredients). 5. A Notable Weakness: A specific vulnerability that creates interesting story possibilities."
4,Write a chapter for a textbook.,"Author a chapter for an introductory textbook on a subject of your choice. The chapter must be structured for educational clarity. 1. Chapter Title and Learning Objectives: A clear title and a list of 3-4 things a student will know or be able to do after reading. 2. Introduction: An engaging opening that introduces the topic and explains its relevance. 3. Sub-sections with Headings: The main content broken down into logical, clearly-headed sections. 4. Key Term Definitions: Important vocabulary should be bolded and clearly defined. 5. A Case Study or Example: A real-world case study or detailed example that illustrates the chapter's main concepts. 6. Chapter Summary: A bulleted list summarizing the key takeaways. 7. Review Questions: A set of 3-5 questions to test comprehension."
5,Give me a fictional diary entry.,"Pen a fictional diary entry from the perspective of a historical figure during a significant event. The entry must: 1. Capture the Voice: Emulate the language, tone, and known personality of the historical figure. 2. Reflect the Period: The details, concerns, and worldview expressed must be authentic to the time period. 3. Blend the Personal and the Historical: The entry should mix personal, everyday details with the character's unique perspective on the major historical events unfolding around them. 4. Express an Emotion: The entry should convey a strong sense of the character's emotional state (e.g., hope, fear, uncertainty)."
6,Analyze a piece of propaganda.,"Dissect a piece of historical propaganda (e.g., a poster, a film). The dissection must identify the techniques used to influence its audience. 1. The Source and Audience: Who created this piece and who was the intended audience? 2. The Core Message: What is the central idea or action the propaganda is trying to promote? 3. Propaganda Techniques: Identify and provide examples of at least three specific techniques being used (e.g., appeal to fear, bandwagon, name-calling, glittering generalities). 4. Symbolism and Imagery: Analyze the key symbols and visual elements and what they are meant to represent. 5. Intended Effect: What was the desired emotional and behavioral response from the audience?"
7,Create a fictional festival.,"Imagine a detailed cultural festival for a fictional society. The description should make the festival feel real and significant. 1. Name and Purpose: The name of the festival and the reason for its celebration (e.g., harvest, religious observance, historical commemoration). 2. Timing and Duration: When does it take place and how long does it last? 3. Key Events and Rituals: Describe the 3-4 main events, parades, or rituals that are central to the festival. 4. Associated Foods and Crafts: What special foods are eaten and what crafts or goods are sold during the festival? 5. The Climax: Describe the culminating event that ends the festival."
8,Write a scientific abstract.,"Synthesize a fictional scientific study into a formal abstract. The abstract must be concise (under 250 words) and follow the IMRaD structure. 1. Introduction: A brief statement of the research question and its importance. 2. Methods: A concise summary of the experimental methods used. 3. Results: A clear statement of the key findings, including quantitative data if applicable. 4. Discussion/Conclusion: A concluding sentence on the interpretation and implications of the findings."
9,Give me a fictional political system.,"Theorize a unique system of government for a fictional society. The system should be detailed and have inherent potential for conflict. 1. The Name of the System: (e.g., 'The Deliberative Technocracy'). 2. The Source of Legitimacy: Why do the people follow the government? (e.g., divine right, social contract, technological superiority). 3. The Process of Governance: How are decisions made and leaders selected? 4. The Rights of the Individual: What is the relationship between the state and the individual citizen? 5. The Inherent Instability: What is the core philosophical or practical weakness that threatens to destabilize this system?"
10,Write a travel guide entry.,"Author an entry for a travel guide about a specific landmark or attraction. The entry should be both informative and enticing. 1. The 'Why Go' Section: A compelling opening paragraph that explains why this attraction is a must-see. 2. History and Background: A brief, interesting history of the landmark. 3. What to See and Do: A bulleted list of the key highlights and activities available at the site. 4. Practical Information: A section with essential details like address, opening hours, ticket prices, and the best time to visit. 5. An 'Insider Tip': A piece of advice that would enhance a visitor's experience."
