id,user_prompt,better_prompt
1,"How could a city redesign its public transportation system to maximize accessibility, sustainability, and economic growth?","How could a city redesign its public transportation system to maximize accessibility, sustainability, and economic growth? Think step by step. Start by identifying the challenges in the current system related to accessibility, sustainability, and economic development. Consider what stakeholders should be involved. Explore frameworks for transportation planning and relevant policy options. Evaluate potential tradeoffs between priorities before proposing solutions."
2,What strategies can help students stay focused while studying?,"What strategies can help students stay focused while studying? Think step by step. Begin by analyzing common obstacles to student focus. Consider environmental, psychological, and scheduling factors. Explore categories of strategies such as habit-building, task management, and attention control. Weigh the pros and cons of each category before identifying a path forward."
3,How can a small business increase its online sales?,"How can a small business increase its online sales? Think step by step. Break down the components of an effective online sales strategy. Consider audience targeting, website usability, marketing channels, and conversion optimization. Think about how these elements interact and which may be underutilized. Identify criteria for evaluating improvements before recommending changes."
4,What are effective ways to reduce plastic waste in a community?,"What are effective ways to reduce plastic waste in a community? Think step by step. Start by identifying the major sources of plastic waste in a typical community setting. Consider which groups or behaviors contribute most. Explore the roles of education, policy, infrastructure, and incentives. Evaluate the feasibility and impact of potential interventions before forming a strategy."
5,How can someone prepare for a job interview effectively?,"How can someone prepare for a job interview effectively? Think step by step. Identify the types of preparation that are typically useful, such as researching the company, anticipating questions, and reviewing one’s resume. Consider mental preparation, logistics, and follow-up. Examine how different strategies can influence confidence and performance."
6,How can schools better support students’ mental health?,"How can schools better support students’ mental health? Think step by step. Start by analyzing the common mental health challenges students face. Consider the current limitations of school support systems. Explore the roles of staff training, access to resources, and student engagement. Weigh the tradeoffs between different approaches to support."
7,What are the best ways to save money on a tight budget?,What are the best ways to save money on a tight budget? Think step by step. Break the problem into fixed vs. variable expenses. Consider techniques for reducing spending in each area. Explore strategies for increasing awareness of spending habits and identifying essential vs. non-essential items. Evaluate the practicality of each method for someone with limited income.
8,How can artificial intelligence improve healthcare delivery?,"How can artificial intelligence improve healthcare delivery? Think step by step. Start by identifying bottlenecks or inefficiencies in current healthcare systems. Consider how AI could be applied in diagnostics, workflow automation, or patient personalization. Explore potential risks or ethical issues. Compare traditional vs. AI-assisted processes before suggesting applications."
9,What steps should a beginner take to start investing?,"What steps should a beginner take to start investing? Think step by step. Identify the knowledge gaps that beginners typically face. Consider foundational concepts such as risk, diversification, and time horizon. Explore the process of choosing investment platforms and account types. Emphasize the importance of education and planning before action."
10,How can we make online education more engaging for students?,"How can we make online education more engaging for students? Think step by step. Break the challenge down into factors like content delivery, interaction, and feedback. Consider the psychological and social needs of students in digital environments. Explore methods that support motivation, retention, and participation. Evaluate which tactics scale best across different subjects and age groups."
11,How can someone become more confident in social situations?,How can someone become more confident in social situations? Think step by step. Begin by identifying what triggers discomfort or hesitation in these contexts. Explore internal factors like self-image and external ones like environment or feedback. Consider short- and long-term strategies for building social confidence. Reflect on how small wins can reinforce progress.
12,What are the most effective habits for maintaining good physical health?,"What are the most effective habits for maintaining good physical health? Think step by step. Break the topic into key areas such as nutrition, exercise, sleep, and stress. Consider the types of habits that support each area. Explore what makes habits sustainable and how they interact. Avoid generalities—focus on constructing a framework for healthy living."
13,How can someone create a successful blog?,"How can someone create a successful blog? Think step by step. Begin by defining the blog’s purpose and intended audience. Consider platform selection, content planning, and writing frequency. Explore what drives traffic and engagement. Reflect on long-term consistency and how to track progress."
14,How can parents encourage reading habits in children?,"How can parents encourage reading habits in children? Think step by step. Break the topic into child motivation, environment, and parental behavior. Consider age-appropriate incentives and how reading can become routine. Explore the roles of modeling, access to books, and emotional reinforcement. Think about what barriers might exist and how to lower them."
15,What is the best way to prepare for a long-distance move?,"What is the best way to prepare for a long-distance move? Think step by step. Identify the logistical elements involved—transportation, packing, address changes, etc. Consider how to plan for time, cost, and emotional stress. Explore tools or checklists that make the process manageable. Anticipate what commonly goes wrong and how to mitigate it."
16,How can someone reduce their screen time without missing important updates?,"How can someone reduce their screen time without missing important updates? Think step by step. Start by analyzing current screen usage patterns. Identify which apps or tasks are essential vs. passive. Consider setting limits, batching notifications, and using alternative tools. Explore how routines and habits can be adapted while maintaining connection."
17,What are the key skills needed to become a software engineer?,"What are the key skills needed to become a software engineer? Think step by step. Break the role down into technical, problem-solving, and collaboration skills. Consider which foundational skills should be developed first. Explore learning methods, project-based experience, and how to demonstrate competence. Don’t list them—reason through how someone would build them over time."
18,How can a student improve their time management?,"How can a student improve their time management? Think step by step. Start by identifying the root causes of poor time use. Consider tools and systems like planners, calendars, or digital trackers. Explore methods for setting priorities and balancing workload. Reflect on self-assessment and feedback loops that support ongoing improvement."
19,How does someone figure out the right career path?,"How does someone figure out the right career path? Think step by step. Begin with self-assessment—values, interests, and skills. Explore external research methods like informational interviews and job shadowing. Consider how to test options through short-term experiences. Examine how to balance long-term fulfillment with practical constraints."
20,What are the best practices for building a mobile app?,"What are the best practices for building a mobile app? Think step by step. Break the process into planning, design, development, and testing. Consider user needs, platform constraints, and scalability. Explore tools and frameworks that support efficient development. Evaluate how to iterate based on user feedback and data."
21,How can someone improve their public speaking skills?,"How can someone improve their public speaking skills? Think step by step. Identify common barriers to effective public speaking. Consider the skills that need to be developed, such as clarity, confidence, and engagement. Explore practice strategies like rehearsals, feedback loops, and structured exposure. Reflect on how different environments affect performance."
22,What are the best ways to learn a new language?,"What are the best ways to learn a new language? Think step by step. Break the problem into vocabulary acquisition, grammar understanding, and conversational fluency. Consider how input and output (listening vs. speaking) can be balanced. Explore immersion methods, digital tools, and habit formation. Think about long-term consistency."
23,How can someone eat healthier on a busy schedule?,"How can someone eat healthier on a busy schedule? Think step by step. Identify the challenges posed by time constraints. Consider strategies like meal prep, healthy snacking, and batch cooking. Explore how to make better food decisions in fast-paced environments. Reflect on how routines and planning can support nutrition goals."
