id,user_prompt,technique
1,Explain the concept of the scientific community.,role
2,Create a plan to transition a community to renewable energy.,cot
3,How do smart grids optimize electricity distribution?,role
4,How can urban green corridors mitigate heat islands and promote ecosystem connectivity?,role
5,How can feminist ethics reshape corporate social responsibility strategies?,role
6,What design strategies improve wayfinding in large public buildings?,cot
7,How do linguistic structures shape cognitive perception?,role
8,What is the psychological impact of color in branding and advertising?,role
9,How can systems thinking guide climate adaptation strategies?,role
10,How can someone become a better leader at work?,cot
11,How can local governments design effective participatory budgeting processes that genuinely reflect community priorities?,cot
12,What are the advantages of electric vehicles?,role
13,Analyze the long-term effects of remote work on commercial real estate.,cot
14,What strategies support lifelong learning in aging populations?,cot
15,Plan an online course for teaching climate science to high school students.,cot
16,Explore the concept of economic inequality.,role
17,How can science museums enhance STEM interest among children?,cot
18,Analyze the effects of urban sprawl on community well-being.,role
19,Analyze how pandemics historically reshape social institutions and cultural norms.,role
20,What strategies improve language acquisition in adult learners?,cot
21,Set up a study group that actually works.,cot
22,Organize a local fundraiser for a cause.,cot
23,How can sleep deprivation impact productivity?,role
24,What strategies are most effective for teaching scientific literacy to adults outside traditional academic settings?,cot
25,Evaluate the promise and perils of neuroenhancement technologies in academia.,role
26,Develop a data collection plan for a field research project.,cot
27,How does deforestation in the Amazon affect global climate patterns?,cot
28,What is the best way to develop a personal brand?,role
29,Discuss the implications of privacy in the digital age.,role
30,How does someone figure out the right career path?,cot
31,What are the barriers to adoption of telehealth in low-income populations?,cot
32,Prepare for a panel interview.,cot
33,Discuss the implications of social media on political discourse.,role
34,What principles guide ethical storytelling in journalism and documentary filmmaking?,role
35,How can someone prepare for a job interview effectively?,cot
36,How does systemic racism manifest in healthcare access and outcomes?,role
37,Discuss the economic effects of immigration.,role
38,What are the most promising approaches for promoting sustainable design in civil engineering projects?,cot
39,What is the best approach for a country to support small and medium-sized enterprises (SMEs) in the digital economy?,cot
40,Summarize the key events of the American Civil Rights Movement.,role
41,What steps should be taken to ensure equitable distribution of emerging medical technologies in both high- and low-resource settings?,cot
