id,user_prompt,role_playing_prompt
1,Describe the impact of wearable technology on modern society.,Act as a scientist. Break down the scientific principles and evidence that underpin the impact of wearable technology on modern society..
2,How does privacy in smart homes relate to other major trends in technology or society?,Act as a fictional character. Tell a creative and imaginative story that centers around does privacy in smart homes relate to other major trends in technology or society?.
3,Develop a social media campaign centered around energy-efficient architecture.,"Act as a literature professor. Examine the deeper themes, narrative structure, and symbolic elements of a social media campaign centered around energy-efficient architecture.."
4,Break down how plastic waste reduction has evolved over the last decade.,Act as a fictional character. Tell a creative and imaginative story that centers around down how plastic waste reduction has evolved over the last decade..
5,Debate both sides of the issue regarding e-waste recycling.,"Act as a historian. Delve into the origins, developments, and key milestones related to both sides of the issue regarding e-waste recycling.."
6,Break down how gene editing has evolved over the last decade.,Act as a fictional character. Tell a creative and imaginative story that centers around down how gene editing has evolved over the last decade..
7,Write a persuasive essay on why e-waste recycling is important for the future.,Act as a professional translator. Convey the cultural and linguistic nuances involved in communicating about a persuasive essay on why e-waste recycling is important for the future..
8,What are the pros and cons of adopting energy-efficient architecture in daily life?,"Act as a concerned parent. Discuss how are the pros and cons of adopting energy-efficient architecture in daily life? might affect families and young people, emphasizing real-life impact."
9,Draft a compelling speech to raise awareness about gig economy.,Act as a high school teacher. Present a clear and engaging explanation of a compelling speech to raise awareness about gig economy. for teenage students.
10,Explain the fundamental principles behind gene editing to a high school student.,"Act as a data analyst. Use data trends, statistics, and interpretation to explain key patterns in the fundamental principles behind gene editing to a high school student.."
11,Provide a troubleshooting guide for common issues in data privacy.,Act as a professional translator. Convey the cultural and linguistic nuances involved in communicating about a troubleshooting guide for common issues in data privacy..
12,Propose a community project that addresses quantum computing.,Act as a high school teacher. Present a clear and engaging explanation of a community project that addresses quantum computing. for teenage students.
13,Discuss the ethical implications of facial recognition.,Act as a professional translator. Convey the cultural and linguistic nuances involved in communicating about the ethical implications of facial recognition..
14,Write an informative news article about the rise of gig economy.,Act as a high school teacher. Present a clear and engaging explanation of an informative news article about the rise of gig economy. for teenage students.
15,Provide a step-by-step guide to understanding online misinformation.,Act as a time traveler from the future. Describe the state of a step-by-step guide to understanding online misinformation. 50 years from now and how we got there.
16,Provide a troubleshooting guide for common issues in drone delivery systems.,Act as a time traveler from the future. Describe the state of a troubleshooting guide for common issues in drone delivery systems. 50 years from now and how we got there.
17,Identify and analyze cultural differences in perceptions of drone delivery systems.,Act as a scientist. Break down the scientific principles and evidence that underpin and analyze cultural differences in perceptions of drone delivery systems..
18,Discuss the ethical implications of genetic testing.,"Act as a data analyst. Use data trends, statistics, and interpretation to explain key patterns in the ethical implications of genetic testing.."
19,Explain how AI in healthcare has changed in the last 5 years.,Act as a scientist. Break down the scientific principles and evidence that underpin how AI in healthcare has changed in the last 5 years..
20,Develop a social media campaign centered around eco-tourism.,Act as a startup founder. Propose an innovative solution or business idea centered on tackling a social media campaign centered around eco-tourism..
21,Give a creative story that revolves around the concept of genetic testing.,Act as a high school teacher. Present a clear and engaging explanation of a creative story that revolves around the concept of genetic testing. for teenage students.
22,Suggest a series of books or articles to learn more about gene editing.,Act as a time traveler from the future. Describe the state of a series of books or articles to learn more about gene editing. 50 years from now and how we got there.
23,Debate both sides of the issue regarding biodiversity loss.,"Act as a historian. Delve into the origins, developments, and key milestones related to both sides of the issue regarding biodiversity loss.."
24,Create an outline for a podcast episode focused on virtual reality.,"Act as a historian. Delve into the origins, developments, and key milestones related to an outline for a podcast episode focused on virtual reality.."
25,Imagine you're at a debate competition—argue in favor of deepfake technology.,Act as a news reporter. Write a concise and unbiased report summarizing the latest developments in you're at a debate competition—argue in favor of deepfake technology..
26,Break down how vaccination campaigns has evolved over the last decade.,Act as a professional translator. Convey the cultural and linguistic nuances involved in communicating about down how vaccination campaigns has evolved over the last decade..
27,Write a fictional letter from someone affected by internet censorship.,Act as a high school teacher. Present a clear and engaging explanation of a fictional letter from someone affected by internet censorship. for teenage students.
28,Suggest a series of books or articles to learn more about vaccination campaigns.,Act as a high school teacher. Present a clear and engaging explanation of a series of books or articles to learn more about vaccination campaigns. for teenage students.
29,Develop a social media campaign centered around digital currency.,"Act as a concerned parent. Discuss how a social media campaign centered around digital currency. might affect families and young people, emphasizing real-life impact."
30,Design a workshop activity that explores the impact of ocean acidification.,Act as a scientist. Break down the scientific principles and evidence that underpin a workshop activity that explores the impact of ocean acidification..
31,Suggest a series of books or articles to learn more about artificial intelligence.,"Act as a data analyst. Use data trends, statistics, and interpretation to explain key patterns in a series of books or articles to learn more about artificial intelligence.."
32,Provide actionable advice for someone looking to get involved in AI in healthcare.,Act as a news reporter. Write a concise and unbiased report summarizing the latest developments in actionable advice for someone looking to get involved in AI in healthcare..
